tsne1,tsne2,reciter
-10.934907,0.9093277,Bander_Balilah
-10.2333555,0.019792851,Bander_Balilah
-2.5822804,-3.1089199,Bander_Balilah
-10.763342,0.5296078,Bander_Balilah
-10.592659,3.8459263,Bander_Balilah
-2.082649,9.257492,Bander_Balilah
-5.711657,-4.724941,Bander_Balilah
-9.6659155,2.6769056,Bander_Balilah
-5.9114885,5.1966004,Bander_Balilah
-5.179578,-5.243718,Bander_Balilah
-10.377667,0.17714052,Bander_Balilah
6.6135526,-5.8519454,Bander_Balilah
-10.884324,0.7447035,Bander_Balilah
-10.839096,1.2290232,Bander_Balilah
-8.884487,-1.4647853,Bander_Balilah
-10.667829,3.9068851,Bander_Balilah
-10.658738,0.38134167,Bander_Balilah
-2.6087425,-3.1055298,Bander_Balilah
-2.530442,9.503673,Bander_Balilah
4.0668135,10.777045,Bander_Balilah
-2.6017215,-3.0575268,Bander_Balilah
-10.750321,0.45345578,Bander_Balilah
-5.0717483,-5.4987507,Bander_Balilah
-8.902796,-1.7818048,Bander_Balilah
6.484196,-4.8567753,Bander_Balilah
-4.87487,-5.843649,Bander_Balilah
-2.7230895,9.535003,Bander_Balilah
-2.6746347,-3.0747972,Bander_Balilah
-10.575416,3.8742738,Bander_Balilah
-5.0495515,-5.5650625,Bander_Balilah
-8.869018,-1.526062,Bander_Balilah
3.5779402,11.360967,Bander_Balilah
-3.2240477,5.0134053,Bander_Balilah
-1.8595693,8.985654,Bander_Balilah
-2.6060348,-3.0739224,Bander_Balilah
6.503082,-5.060765,Bander_Balilah
-5.808104,-4.6715674,Bander_Balilah
-10.911166,0.7371035,Bander_Balilah
-10.822623,0.64846706,Bander_Balilah
-9.084859,-0.18681113,Bander_Balilah
-5.5884485,-4.8963437,Bander_Balilah
3.570261,11.295593,Bander_Balilah
-9.354124,-1.4250472,Bander_Balilah
-10.685904,0.41890508,Bander_Balilah
6.480718,-5.11148,Bander_Balilah
3.5027418,11.239231,Bander_Balilah
-10.757424,0.5104625,Bander_Balilah
-2.5390162,9.515697,Bander_Balilah
3.5459702,11.349575,Bander_Balilah
6.6947737,-6.4668727,Bander_Balilah
-10.612551,3.8091915,Bander_Balilah
-1.8580376,9.637873,Bander_Balilah
-5.6680374,-4.911135,Bander_Balilah
-10.822203,0.6492924,Bander_Balilah
-8.84908,-1.4434606,Bander_Balilah
6.557895,-6.9585395,Bander_Balilah
-2.6177027,-3.112807,Bander_Balilah
-10.870714,0.63396394,Bander_Balilah
-10.484252,0.2360723,Bander_Balilah
-2.6194656,-3.0992413,Bander_Balilah
-10.522063,3.7519343,Bander_Balilah
-5.7108684,-4.7336564,Bander_Balilah
-2.2913275,9.516124,Bander_Balilah
-10.703431,0.4582083,Bander_Balilah
0.102415614,6.141976,Bander_Balilah
-5.182394,-6.753778,Bander_Balilah
-5.6890187,-4.8307495,Bander_Balilah
6.3527846,-4.415694,Bander_Balilah
-10.727463,0.675288,Bander_Balilah
-2.6080356,-3.074323,Bander_Balilah
-5.413649,-5.0183306,Bander_Balilah
-0.40777043,7.441919,Bander_Balilah
6.5537205,-5.4775076,Bander_Balilah
-10.786182,0.56178457,Bander_Balilah
-5.9999914,-4.4805093,Bander_Balilah
-5.6120515,-4.669184,Bander_Balilah
2.0370934,8.038655,Bander_Balilah
6.550486,-5.520856,Bander_Balilah
-3.7700412,5.287059,Bander_Balilah
-8.461155,-2.0135472,Bander_Balilah
-5.6187067,-4.796174,Bander_Balilah
-6.03275,-4.427887,Bander_Balilah
-3.9564762,5.432687,Bander_Balilah
-10.814385,0.5598705,Bander_Balilah
-5.7180967,-4.7098656,Bander_Balilah
4.551081,10.475312,Bander_Balilah
-5.521875,-4.9419794,Bander_Balilah
-2.6522179,-3.0710092,Bander_Balilah
-2.5030446,-3.004934,Bander_Balilah
-9.068884,-1.5289097,Bander_Balilah
-10.688414,3.991683,Bander_Balilah
-2.720108,9.193372,Bander_Balilah
6.4361,-4.6938143,Bander_Balilah
-9.290703,-1.023934,Bander_Balilah
6.606985,-5.957554,Bander_Balilah
-10.657982,3.870116,Bander_Balilah
-2.6913223,-3.0713313,Bander_Balilah
-5.528032,-5.0112085,Bander_Balilah
-10.673808,4.1691184,Bander_Balilah
-10.572283,0.31643152,Bander_Balilah
-10.83693,0.7678845,Bander_Balilah
-2.6338842,-3.0791647,Bander_Balilah
-1.9124253,9.733303,Bander_Balilah
-2.7482228,9.153817,Bander_Balilah
-5.52144,-4.905816,Bander_Balilah
-4.056494,5.5178156,Bander_Balilah
-5.295844,-5.088892,Bander_Balilah
-10.670455,3.9434938,Bander_Balilah
-10.719144,4.0091763,Bander_Balilah
-10.910905,0.769677,Bander_Balilah
-10.877596,0.9683415,Bander_Balilah
-10.335318,0.11577606,Bander_Balilah
3.7491596,11.198015,Bander_Balilah
6.457706,-4.6067815,Bander_Balilah
-2.6425998,9.607309,Bander_Balilah
-1.8437554,9.634344,Bander_Balilah
-7.92163,-2.2740974,Bander_Balilah
6.2524667,-4.844943,Bander_Balilah
6.6715937,-7.7110987,Bander_Balilah
-2.584267,-3.1922574,Bander_Balilah
-2.6453319,-3.120636,Bander_Balilah
-2.4141119,9.536082,Bander_Balilah
-5.722786,-4.7562895,Bander_Balilah
-5.1052427,-5.4846616,Bander_Balilah
-5.713525,-4.91671,Bander_Balilah
-2.64187,-3.0860248,Bander_Balilah
-10.612464,3.8250523,Bander_Balilah
-2.1438622,9.080948,Bander_Balilah
6.5392528,-5.0663667,Bander_Balilah
-4.8303733,-5.9875994,Bander_Balilah
3.5231743,11.336248,Bander_Balilah
-5.8323812,-4.638298,Bander_Balilah
-10.647857,3.787384,Bander_Balilah
-2.5728335,-3.0628068,Bander_Balilah
-10.421182,0.18794529,Bander_Balilah
3.155505,11.335447,Bander_Balilah
6.14704,-4.2632475,Bander_Balilah
-10.727673,4.086268,Bander_Balilah
-2.5681288,-3.082588,Bander_Balilah
6.491381,-4.845835,Bander_Balilah
-10.8094845,0.54938215,Bander_Balilah
6.55633,-5.511782,Bander_Balilah
-2.3575203,9.09946,Bander_Balilah
-10.385667,4.097936,Bander_Balilah
-10.904011,0.6196616,Bander_Balilah
-5.5483127,-4.828374,Bander_Balilah
-10.566988,0.27037072,Bander_Balilah
-2.5861027,-3.1169362,Bander_Balilah
